Datetime,PM2.5,PM10,NO,NO2,NOx,CO,O3,Benzene,Toluene,AQI,AQI_Bucket,Benzene_missing,Toluene_missing
2020-01-01,0.8268350491216009,0.4261578322357767,0.5717858929464733,0.5890593729152768,0.3271926311573889,0.7427427427427427,0.4744744744744745,0.12862862862862867,0.10573715810540361,483.2,Severe,0,0
2020-01-02,0.30956559497747466,0.14884486667386373,0.18009004502251127,0.5843895930620413,0.27032438926712055,0.3383383383383384,0.9424424424424425,0.4224224224224225,0.128418945963976,340.1,Very Poor,0,0
2020-01-03,0.09715764143945287,0.46218827593652156,0.5537768884442221,0.5777184789859906,0.6916299559471366,0.18718718718718716,0.3638638638638639,0.3218218218218219,0.7264843228819212,292.8,Poor,0,0
2020-01-04,0.6511552170215845,0.631005073950124,0.5072536268134067,0.6170780520346898,0.1830196235482579,0.5435435435435436,0.8923923923923923,0.2737737737737739,0.5160106737825216,444.6,Severe,0,0
2020-01-05,0.5402471458812035,0.12199071575083666,0.9399699849924963,0.7431621080720481,0.3131758109731678,0.9409409409409409,0.29179179179179177,0.795795795795796,0.6934623082054704,420.2,Severe,0,0
2020-01-06,0.5152792603716235,0.22481917305408614,0.20110055027513757,0.9959973315543696,0.7641169403283942,0.5885885885885885,0.12412412412412412,0.6921921921921923,0.9929953302201469,414.8,Severe,0,0
2020-01-07,0.24117529988601616,0.5365432365324407,0.05352676338169085,0.23749166110740494,0.5062074489387265,0.6936936936936937,0.5435435435435435,0.5540540540540542,0.300533689126084,359.8,Very Poor,0,0
2020-01-08,0.8859980821769101,0.058026557270862554,0.5407703851925963,0.06604402935290193,0.3231878253904686,0.7177177177177176,0.5295295295295295,0.006006006006006008,0.456971314209473,496.2,Severe,0,0
2020-01-09,0.17821280599229253,0.10188383892907264,0.6388194097048524,0.5750500333555704,0.1357629154985983,0.25925925925925924,0.6791791791791791,0.21021021021021027,0.25083388925950634,229.3,Poor,0,0
2020-01-10,0.3048615006061045,0.19000323869156857,0.9329664832416208,0.4202801867911941,0.5602723267921506,0.4254254254254254,0.3438438438438438,0.1761761761761762,0.11240827218145431,338.1,Very Poor,0,0
2020-01-11,0.3822981310271209,0.6817445751916225,0.5657828914457229,0.4162775183455637,0.43652382859431316,0.18118118118118118,0.13413413413413414,0.6291291291291292,0.16044029352901937,444.6,Severe,0,0
2020-01-12,0.30721354779178955,0.6245276908129115,0.8304152076038018,0.5763842561707805,0.2599118942731277,0.45345345345345345,0.6491491491491491,0.05805805805805806,0.12675116744496331,419.8,Severe,0,0
2020-01-13,0.7560927068444573,0.6802601748893445,0.6183091545772886,0.7558372248165444,0.46415698838606323,0.29629629629629634,0.8558558558558558,0.17867867867867873,0.218812541694463,467.7,Severe,0,0
2020-01-14,0.33344792024750775,0.05127928316959947,0.49624812406203095,0.9499666444296198,0.9191029235082099,0.36736736736736736,0.571071071071071,0.12012012012012015,0.3342228152101401,350.2,Very Poor,0,0
2020-01-15,0.5402471458812035,0.19364676670625067,0.6163081540770385,0.724482988659106,0.03844613536243493,0.8978978978978979,0.03553553553553553,0.3033033033033034,0.6811207471647766,420.2,Severe,0,0
2020-01-16,0.5103942392936621,0.4544963834610817,0.8679339669834917,0.5416944629753169,0.7553063676411695,0.43543543543543545,0.6376376376376376,0.5830830830830832,0.5643762508338892,413.7,Severe,0,0
2020-01-17,0.8670007779848383,0.3339900680125229,0.061030515257628815,0.9306204136090727,0.21786143372046454,0.6946946946946947,0.2112112112112112,0.49899899899899913,0.5483655770513676,492.0,Severe,0,0
2020-01-18,0.4749326048017948,0.5276368347187735,0.026013006503251626,0.9533022014676451,0.7028434120945134,0.12612612612612611,0.01901901901901902,0.9634634634634637,0.10340226817878587,405.9,Severe,0,0
2020-01-19,0.5154601870782146,0.41590197560185677,0.9364682341170586,0.7438292194796531,0.9847817380857029,0.3913913913913914,0.31431431431431434,0.0785785785785786,0.9706470980653769,414.8,Severe,0,0
2020-01-20,0.847460693672993,0.2914822411745654,0.6453226613306653,0.011340893929286189,0.5975170204245095,0.2882882882882883,0.6046046046046046,0.0805805805805806,0.3472314876584389,487.8,Severe,0,0
2020-01-21,0.7054332289989325,0.28311562128899914,0.3496748374187093,0.7891927951967979,0.49579495394473366,0.5345345345345345,0.8483483483483483,0.3488488488488489,0.21480987324883258,456.5,Severe,0,0
2020-01-22,0.13243834922472908,0.5544909856418005,0.10655327663831915,0.9486324216144095,0.6599919903884662,0.7847847847847848,0.45645645645645644,0.3243243243243244,0.06070713809206138,376.4,Very Poor,0,0
2020-01-23,0.7256970201371424,0.4296664147684334,0.5512756378189094,0.4202801867911941,0.2931517821385663,0.5525525525525525,0.33183183183183185,0.371871871871872,0.2688458972648432,461.0,Severe,0,0
2020-01-24,0.6122559751044852,0.41198855662312417,0.9709854927463731,0.12741827885256837,0.8878654385262316,0.12312312312312311,0.9389389389389389,0.7902902902902904,0.6424282855236825,436.1,Severe,0,0
2020-01-25,0.3459318630022978,0.43398467019324183,0.2771385692846423,0.12141427618412273,0.23908690428514215,0.1091091091091091,0.10260260260260261,0.820820820820821,0.4469646430953969,355.5,Very Poor,0,0
2020-01-26,0.8373287981038882,0.6528662420382164,0.5842921460730366,0.13275517011340893,0.47496996395674806,0.2862862862862863,0.12262262262262262,0.37887887887887894,0.3982655103402268,485.5,Severe,0,0
2020-01-27,0.7202692189394075,0.6906509770052898,0.22761380690345173,0.133422281521014,0.7200640768922708,0.7437437437437437,0.44594594594594594,0.9799799799799801,0.872248165443629,459.8,Severe,0,0
2020-01-28,0.058077472815762324,0.5735182986073625,0.167583791895948,0.2868579052701801,0.19343211854225068,0.41541541541541543,0.6691691691691691,0.35385385385385393,0.11007338225483657,394.1,Very Poor,0,0
2020-01-29,0.40726601653670097,0.3813559322033897,0.2291145572786393,0.8465643762508339,0.6563876651982379,0.6846846846846846,0.40240240240240244,0.26226226226226235,0.37691794529686456,381.5,Very Poor,0,0
2020-01-30,0.22814857701145266,0.7843031415308214,0.7113556778389195,0.7004669779853235,0.6231477773327995,0.8138138138138138,0.3558558558558559,0.7222222222222223,0.6367578385590394,489.2,Severe,0,0
2020-01-31,0.5550831358216787,0.2725898736910288,0.825912956478239,0.06604402935290193,0.8906688025630757,0.2832832832832833,0.3103103103103103,0.931931931931932,0.9746497665110073,423.5,Severe,0,0
2020-02-01,0.1990193772502759,0.4847241714347403,0.6443221610805403,0.3222148098732488,0.16740088105726872,0.8808808808808809,0.5425425425425425,0.6221221221221221,0.06304202801867913,311.7,Very Poor,0,0
2020-02-02,0.2762750809647012,0.6471985317931555,0.6038019009504753,0.5710473649099399,0.8450140168201842,0.04804804804804805,0.6206206206206205,0.9724724724724727,0.5253502334889927,429.6,Severe,0,0
2020-02-03,0.02532973892276239,0.41495735722767996,0.8089044522261132,0.19212808539026016,0.025230276331597915,0.9239239239239239,0.7742742742742743,0.7517517517517518,0.829219479653102,257.8,Poor,0,0
2020-02-04,0.8876264225362305,0.22805786462269242,0.23111555777888942,0.3195463642428285,0.12815378454144974,0.5925925925925926,0.533033033033033,0.0835835835835836,0.24149432955303538,496.6,Severe,0,0
2020-02-05,0.17857465940547484,0.11888696966425563,0.8674337168584292,0.3535690460306871,0.26511814177012416,0.9499499499499499,0.8123123123123123,0.26026026026026033,0.3315543695797198,230.0,Poor,0,0
2020-02-06,0.4906732282752257,0.21267407967181257,0.48974487243621806,0.7124749833222147,0.06327593111734081,0.2362362362362362,0.22872872872872874,0.038538538538538544,0.4589726484322882,409.3,Severe,0,0
2020-02-07,0.51473648025185,0.7382867321602071,0.8034017008504252,0.14142761841227483,0.8410092110532639,0.7847847847847848,0.34734734734734735,0.6521521521521522,0.8695797198132088,469.2,Severe,0,0
2020-02-08,0.26921893940764596,0.542345892259527,0.13856928464232116,0.3208805870580387,0.8149779735682819,0.7107107107107107,0.9929929929929929,0.7162162162162163,0.6671114076050702,365.2,Very Poor,0,0
